shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10866849:1,35.28176880,-120.65924072,163,19284.49630579
10866849:1,35.28176880,-120.65924072,164,19284.49630579
10866849:1,35.28258896,-120.65995026,165,19396.14289350
10866849:1,35.28347015,-120.66072845,166,19516.93392312
10866849:1,35.28266907,-120.66213989,167,19672.97300883
10866849:1,35.28295135,-120.66239166,168,19711.79991978
10866849:1,35.28292800,-120.66243000,169,19716.14199843
10866897:1,35.28292800,-120.66243000,0,0.00000000
10866897:1,35.28295135,-120.66239166,1,4.34207865
10866897:1,35.28179169,-120.66136169,2,163.61649568
10866897:1,35.28258896,-120.65995026,3,319.41496938
10866897:1,35.28105164,-120.65859985,4,529.76344704
10866897:1,35.28094864,-120.65852356,5,543.14720847
10866897:1,35.28094864,-120.65852356,6,543.14720847
10866897:1,35.27973175,-120.65743256,7,710.82792797
10866897:1,35.27973175,-120.65743256,8,710.82792797
10866897:1,35.27965927,-120.65735626,9,721.45404816
10866897:1,35.27885056,-120.65872192,10,874.60137486
10866897:1,35.27650833,-120.65663910,11,1196.43666248
10866897:1,35.27528209,-120.65638040,12,1334.79603540
10866897:1,35.27431870,-120.65614319,13,1444.06354075
10866897:1,35.27256012,-120.65615845,14,1639.61311389
10866897:1,35.27256012,-120.65615845,15,1639.61311389
10866897:1,35.27246857,-120.65615845,16,1649.79331347
10866897:1,35.27056885,-120.65632629,17,1861.58131223
10866897:1,35.26996994,-120.65646362,18,1929.33372223
10866897:1,35.26977158,-120.65661621,19,1955.38000857
10866897:1,35.26956940,-120.65705872,20,2001.41520441
10866897:1,35.26956177,-120.65873718,21,2153.79629725
10866897:1,35.26950836,-120.65904236,22,2182.13082025
10866897:1,35.26950836,-120.65904236,23,2182.13082025
10866897:1,35.26950836,-120.65939331,24,2213.99185021
10866897:1,35.26951981,-120.66058350,25,2322.04978509
10866897:1,35.26956940,-120.66076660,26,2339.56366428
10866897:1,35.26956940,-120.66149902,27,2406.05619845
10866897:1,35.26956940,-120.66149902,28,2406.05619845
10866897:1,35.26955032,-120.66468811,29,2695.58357651
10866897:1,35.26950836,-120.66480255,30,2706.97268571
10866897:1,35.26950836,-120.66902924,31,3090.69030739
10866897:1,35.26952362,-120.66915131,32,3101.90153613
10866897:1,35.26952362,-120.66915894,33,3102.59416708
10866897:1,35.26951981,-120.66925812,34,3111.60835532
10866897:1,35.26951981,-120.67030334,35,3206.49880070
10866897:1,35.26858902,-120.67037201,36,3310.18505448
10866897:1,35.26795959,-120.67092896,37,3396.52764512
10866897:1,35.26467896,-120.67548370,38,3947.95165295
10866897:1,35.26422882,-120.67623138,39,4032.29170574
10866897:1,35.26422501,-120.67623138,40,4032.71588072
10866897:1,35.26136017,-120.68015289,41,4510.46411641
10866897:1,35.26095963,-120.67964172,42,4574.78871194
10866897:1,35.26071167,-120.67919159,43,4624.08886960
10866897:1,35.26155090,-120.67820740,44,4753.29146146
10866897:1,35.26155090,-120.67820740,45,4753.29146146
10866897:1,35.26195908,-120.67774963,46,4814.83284066
10866897:1,35.26256180,-120.67852783,47,4912.21722574
10866897:1,35.26137161,-120.68013763,48,5109.38960283
10866897:1,35.26097870,-120.68061829,49,5171.14143873
10866897:1,35.25963974,-120.68363953,50,5483.25442828
10866897:1,35.25946045,-120.68406677,51,5526.86957107
10866897:1,35.25946045,-120.68406677,52,5526.86957107
10866897:1,35.25664902,-120.69071960,53,6207.02945514
10866897:1,35.25677109,-120.69090271,54,6228.49242064
10866897:1,35.25794983,-120.69185638,55,6385.58320478
10866897:1,35.25794983,-120.69185638,56,6385.58320478
10866897:1,35.25825882,-120.69214630,57,6428.86623291
10866897:1,35.25962830,-120.69380188,58,6642.84077459
10866897:1,35.25968933,-120.69386292,59,6651.60269997
10866897:1,35.25968933,-120.69386292,60,6651.60269997
10866897:1,35.26094055,-120.69535828,61,6846.00120582
10866897:1,35.26237106,-120.69705963,62,7067.72936765
10866897:1,35.26237106,-120.69705963,63,7067.72936765
10866897:1,35.26340866,-120.69828033,64,7227.71318811
10866897:1,35.26351929,-120.69833374,65,7240.93540784
10866897:1,35.26520157,-120.70030975,66,7500.12117689
10866897:1,35.26520157,-120.70030975,67,7500.12117689
10866897:1,35.26725006,-120.70275116,68,7817.94779266
10866897:1,35.26729965,-120.70290375,69,7832.85795482
10866897:1,35.26739883,-120.70301819,70,7848.00970945
10866897:1,35.26748590,-120.70291786,71,7861.30219791
10866897:1,35.26842117,-120.70419312,72,8016.92844271
10866897:1,35.27386093,-120.70899963,73,8762.76505217
